EOS,q_min,q_med,q_max,mc_5,mc_med,mc_95,status
AP4-PP(Read2009),-26.73244859216393,-26.73244859216393,-26.73244859216393,-26.763414992975903,-26.73297654500087,-26.7009869751671,resolved
H4-PP(Read2009),-98.4643501818972,-98.4643501818972,-98.4643501818972,-98.4745861880461,-98.46420622277842,-98.4540934146564,resolved
MPA1-PP(Read2009),-22.97274776510878,-22.97274776510878,-22.97274776510878,-22.97448468475062,-22.972751602784427,-22.970989986397484,resolved
Poly2(toy),0.0,0.0,0.0,-1603305542.1990676,-5139911.658049589,1610078008.6057122,diagnostic
SLy-PP(Read2009),5.15320794701445,5.15320794701445,5.15320794701445,5.1497232668361645,5.153240662301133,5.156749074449534,resolved
WFF1-PP(Read2009),-73.65195949444049,-73.65195949444049,-73.65195949444049,-73.65218085502416,-73.65196013825414,-73.65173569193819,resolved
