EOS,S_M_min,S_M_med,S_M_max,S_R_min,S_R_med,S_R_max,S_L_min,S_L_med,S_L_max,status,sigma_spans,S_M_half_range,S_R_half_range,S_L_half_range
Poly2(toy),-1.8198276729612828,-1.8089963722933904,-1.798165071625498,-14.66521392720379,-14.643608090486385,-14.622002253768981,-145565.35743609702,-133741.62229725887,-121917.88715842074,unknown,"0.04,0.06",0.010831300667892396,0.02160583671740479,11823.735138838143
SLy-PP(Read2009),-1.1954558395159132,-1.1906735715737211,-1.1858913036315293,-3.2016794099811285,-3.167689842691823,-3.133700275402518,-1885.6928134334964,-1819.5496826417368,-1753.4065518499772,unknown,"0.04,0.06",0.004782267942191942,0.033989567289305356,66.14313079175963
AP4-PP(Read2009),-1.1049653807776116,-1.1013598322972051,-1.0977542838167986,-2.5029320769291097,-2.47516988094693,-2.4474076849647495,-2146.5925196626567,-2075.1149575421455,-2003.6373954216344,unknown,"0.04,0.06",0.0036055484804065063,0.027762195982180105,71.47756212051115
