scheme,scale,I,I_err,Sigma_pp
PV,10.0,0.1166503235296795,8.951379650282928e-13,0.1166503235296795
PV,30.0,0.1723066722556148,9.185276702968182e-13,0.1723066722556148
PV,100.0,0.2333006470593591,8.900575827229848e-12,0.2333006470593591
PV,300.0,0.2889569957852944,2.9983617827779385e-12,0.2889569957852944
PV,1000.0,0.3499509705890386,3.3599828164031095e-11,0.3499509705890386
