level,rtol,atol,max_step,Mmax_baseline,Mmax_sigma,DeltaMmax
T1,3e-06,1e-09,80000.0,2.073281010251663,1.9992867020443845,-0.07399430820727826
T2,1e-06,3e-10,40000.0,2.0732811687388413,1.999286795200923,-0.07399437353791827
T3,3e-07,1e-10,20000.0,2.07328122543492,1.9992867716281075,-0.07399445380681269
